ProductId,SkuId,EAN,ISBN,Brand,Category,Imageurl1,Imageurl2,Imageurl3,StockStatus,StockQuantity,PackageWeight,Language,Title,Description,AttributeColor,AttributeSize,Attribute1,Attribute2,Attribute3,Currency,NormalPriceWithoutVAT,VATRate
CHZ066,CHZ066B4WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/282/1435282/5f285136-68e7-424e-b180-f2acb7687553.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Black/White,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066M3WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/310/1435310/3cceef21-1098-4407-a199-c883871868dd.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Yellow/Green,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066M2WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/314/1435314/e67563fc-2933-47f7-80c0-11e0e0fc5eb4.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",White/Green,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066M8WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/270/1435270/6519ea7d-4856-4e01-83d3-201f26e152ae.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Blue/White,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066N6WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/294/1435294/d3d4113f-9790-4c4b-971d-1fdaf1c29569.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Green,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066M5WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/298/1435298/984096a0-06c0-46a4-9445-c800840cbb77.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Black/Red,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066M1WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/318/1435318/fc335896-02fa-415e-addf-9f1d732ce668.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Green/White,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066G5WM4,7.96E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/278/1435278/26f73144-e469-45b5-a3d6-d66deee74b9e.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Multicolor,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066R1WM4,7.95803E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/274/1435274/839e6822-b9a9-40b1-8cc9-1e3c0aa9dc31.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Brown/White,120*120cm,,,,CNY,191.09,0
CHZ066,CHZ066M9WM4,7.95803E+11,,HomeMiYN,Hardware > Building Materials > Flooring & Carpet,http://picture.irobotbox.com/public/1399/ProductImages/upload/product/1399/266/1435266/e82fdf63-9354-42ac-9cdd-ff76b9a6f589.jpg,,,INSTOCK,100,1180,en,HomeMiYN Crystal Velvet Round Rug Carpet,"Fabric: cotton fabric main ingredient content 71% (inclusive) -80% (inclusive)
Style: modern and simple
Shape: Round
Applicable scene: home
Process: machine weaving
Landscape
Blanket category
Size 120 * 120cm

Features:
1. Convenient storage: thin and moderate, close to the ground, no curling, convenient storage
2. Point plastic anti-skid bottom; point plastic anti-skid bottom, firm anti-skid, no yellowing, no cracking, no sticking to the floor

laundry guide:
1. Can be washed by hand, some parts are dirty
2. Machine washable, when you need to wash too much at one time, you can choose machine wash
3. Washed without fading, shrinking, deforming or degumming",Grey/White,120*120cm,,,,CNY,191.09,0
